"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Gerald Everett","SEA","TEN","TE","3600","7.6","-2.5","3.4","19185174","12.8"
"Ronald Jones II","TB","ATL","RB","4800","10.0","-2.5","0.5","19184156","16.7"
"Austin Hooper","CLE","HOU","TE","3800","7.9","-2.6","0.6","19185166","13.2"
"Jalen Guyton","LAC","DAL","WR","3100","6.6","-2.6","0.5","19184688","11.8"
"Jameis Winston","NO","CAR","QB","6100","16.3","-2.6","0.5","19184003","26.5"
"Dalton Schultz","DAL","LAC","TE","3300","6.9","-2.7","1.0","19185184","11.1"
"Trent Sherfield","SF","PHI","WR","3200","6.6","-2.7","0.5","19184674","11.1"
"Chester Rogers","TEN","SEA","WR","3200","6.7","-2.7","0.5","19184670","10.2"
"Nico Collins","HOU","CLE","WR","3200","6.6","-2.8","0.5","19184666","8.6"
"Kenyan Drake","LV","PIT","RB","4900","9.9","-2.8","0.5","19184154","14.2"
"Christian Kirk","ARI","MIN","WR","5000","10.0","-2.9","0.5","19184556","16.3"
"C.J. Uzomah","CIN","CHI","TE","3000","6.1","-2.9","0.5","19185200","9.2"
"Kenneth Gainwell","PHI","SF","RB","4000","8.0","-2.9","0.5","19184368","13.4"
"David Njoku","CLE","HOU","TE","3600","7.2","-3.0","0.5","19185176","12.7"
"Deonte Harris","NO","CAR","WR","3900","7.8","-3.0","0.5","19184606","12.2"
"Falcons ","ATL","TB","DST","2100","2.2","-3.0","0.8","19185526","5.2"
"Mo Alie-Cox","IND","LA","TE","2700","5.2","-3.1","0.6","19185226","8.2"
"Blake Jarwin","DAL","LAC","TE","3100","6.0","-3.2","1.1","19185190","10.1"
"Carlos Hyde","JAX","DEN","RB","4400","8.5","-3.2","0.5","19184180","12.3"
"Tyler Conklin","MIN","ARI","TE","3200","6.2","-3.2","1.1","19185188","9.5"
"DeSean Jackson","LA","IND","WR","3300","6.2","-3.3","0.5","19184660","10.6"
"Jonnu Smith","NE","NYJ","TE","4500","8.6","-3.3","0.5","19185154","13.1"
"Eric Ebron","PIT","LV","TE","3500","6.6","-3.3","0.5","19185178","10.5"
"Albert Okwuegbunam","DEN","JAX","TE","2900","5.4","-3.4","0.5","19185216","9.4"
"Dallas Goedert","PHI","SF","TE","4600","8.7","-3.4","0.5","19185152","12.8"
"Russell Gage","ATL","TB","WR","4800","8.9","-3.6","0.5","19184562","12.0"
"Gabriel Davis","BUF","MIA","WR","3900","7.1","-3.6","0.5","19184604","11.6"
"Zach Pascal","IND","LA","WR","4400","8.1","-3.6","0.5","19184584","11.7"
